Title,Operation,Value,Date,Path,Name,Module,Session,Mark,IdList,entity,Bonder,Milliseconds
Feed One Die,Dialog Item,,2022-07-14 10:17:05.420,,L1 MT,,MIXED_AML_Y22_370UM,80187,,TCB701,1,420
Feed One Die,Dialog Item,,2022-07-14 01:36:41.077,,L1 MT,,MIXED_AML_Y22_370UM,80187,,TCB701,1,77
Feed One Die,Dialog Item,,2022-07-14 03:37:03.000,,L1 MT,,MIXED_AML_Y22_370UM,80187,,TCB701,1,0
Feed One Die,Dialog Item,,2022-07-14 05:40:31.560,,L1 MT,,MIXED_AML_Y22_370UM,80187,,TCB701,1,560
Feed One Die,Dialog Item,,2022-07-14 00:15:51.620,,xudahai,,MIXED_AML_Y22_370UM,80187,,TCB701,2,620
Feed One Die,Dialog Item,,2022-07-14 00:15:56.957,,xudahai,,MIXED_AML_Y22_370UM,80187,,TCB701,2,957
Feed One Die,Dialog Item,,2022-07-14 00:21:45.123,,xudahai,,MIXED_AML_Y22_370UM,80187,,TCB701,2,123
Feed One Die,Dialog Item,,2022-07-14 02:42:21.793,,xudahai,,MIXED_AML_Y22_370UM,80187,,TCB701,2,793
Feed One Die,Dialog Item,,2022-07-14 02:50:32.717,,xudahai,,MIXED_AML_Y22_370UM,80187,,TCB701,2,717
Feed One Die,Dialog Item,,2022-07-14 02:12:15.187,,L1 MT,,MIXED_AML_Y22_370UM,80187,,TCB701,3,187
Feed One Die,Dialog Item,,2022-07-13 21:26:07.890,,wangxianming,,MIXED_AML_Y22_370UM,80187,,TCB701,4,890
Feed One Die,Dialog Item,,2022-07-13 21:27:01.000,,wangxianming,,MIXED_AML_Y22_370UM,80187,,TCB701,4,0
Feed One Die,Dialog Item,,2022-07-14 15:47:31.060,,xudahai,,MIXED_AML_Y22_370UM,80187,,TCB701,2,60
Feed One Die,Dialog Item,,2022-07-14 08:37:39.153,,L1 MT,,MIXED_AML_Y22_370UM,80187,,TCB701,3,153
Feed One Die,Dialog Item,,2022-07-14 10:51:42.687,,L1 MT,,MIXED_AML_Y22_370UM,85187,,TCB701,3,687
Feed One Die,Dialog Item,,2022-07-14 01:36:41.077,,L1 MT,,MIXED_AML_Y22_370UM,80187,,TCB701,1,77
Feed One Die,Dialog Item,,2022-07-14 03:37:03.000,,L1 MT,,MIXED_AML_Y22_370UM,80187,,TCB701,1,0
Feed One Die,Dialog Item,,2022-07-14 05:40:31.560,,L1 MT,,MIXED_AML_Y22_370UM,80187,,TCB701,1,560
Feed One Die,Dialog Item,,2022-07-14 17:19:34.217,,duheping,,MIXED_AML_Y22_370UM,80187,,TCB701,4,217
Feed One Die,Dialog Item,,2022-07-14 17:19:43.340,,duheping,,MIXED_AML_Y22_370UM,80187,,TCB701,4,340
Feed One Die,Dialog Item,,2022-07-14 17:23:12.043,,duheping,,MIXED_AML_Y22_370UM,80592,,TCB701,4,43
Feed One Die,Dialog Item,,2022-07-14 00:15:51.620,,xudahai,,MIXED_AML_Y22_370UM,80187,,TCB701,2,620
Feed One Die,Dialog Item,,2022-07-14 00:15:56.957,,xudahai,,MIXED_AML_Y22_370UM,80187,,TCB701,2,957
Feed One Die,Dialog Item,,2022-07-14 00:21:45.123,,xudahai,,MIXED_AML_Y22_370UM,80187,,TCB701,2,123
Feed One Die,Dialog Item,,2022-07-14 02:42:21.793,,xudahai,,MIXED_AML_Y22_370UM,80187,,TCB701,2,793
Feed One Die,Dialog Item,,2022-07-14 02:50:32.717,,xudahai,,MIXED_AML_Y22_370UM,80187,,TCB701,2,717
Feed One Die,Dialog Item,,2022-07-14 02:12:15.187,,L1 MT,,MIXED_AML_Y22_370UM,80187,,TCB701,3,187
Feed One Die,Dialog Item,,2022-07-13 21:26:07.890,,wangxianming,,MIXED_AML_Y22_370UM,80187,,TCB701,4,890
Feed One Die,Dialog Item,,2022-07-13 21:27:01.000,,wangxianming,,MIXED_AML_Y22_370UM,80187,,TCB701,4,0
Feed One Die,Dialog Item,,2022-07-15 03:50:48.530,,dev,,MIXED_AML_Y22_370UM,80187,,TCB701,4,530
Feed One Die,Dialog Item,,2022-07-15 03:52:13.560,,dev,,MIXED_AML_Y22_370UM,80592,,TCB701,4,560
Feed One Die,Dialog Item,,2022-07-14 09:29:30.950,,L1 MT,,FAST_TIGER_LAKE_UP3_270UM_2X9,80187,,TCB713,1,950
Feed One Die,Dialog Item,,2022-07-14 10:00:40.050,,L1 MT,,FAST_TIGER_LAKE_UP3_270UM_2X9,80187,,TCB713,1,50
Feed One Die,Dialog Item,,2022-07-14 10:25:14.787,,L1 MT,,FAST_TIGER_LAKE_UP3_270UM_2X9,80019,,TCB713,1,787
Feed One Die,Dialog Item,,2022-07-14 11:55:19.447,,L1 MT,,FAST_TIGER_LAKE_UP3_270UM_2X9,80019,,TCB713,1,447
Feed One Die,Dialog Item,,2022-07-14 11:55:23.830,,L1 MT,,FAST_TIGER_LAKE_UP3_270UM_2X9,80019,,TCB713,1,830
Feed One Die,Dialog Item,,2022-07-16 00:18:28.927,,L1 MT,,FAST_TIGER_LAKE_UP3_270UM_2X9,80187,,TCB713,1,927
Feed One Die,Dialog Item,,2022-07-16 00:33:42.103,,L1 MT,,FAST_TIGER_LAKE_UP3_270UM_2X9,80187,,TCB713,1,103
Feed One Die,Dialog Item,,2022-07-16 00:48:59.353,,L1 MT,,FAST_TIGER_LAKE_UP3_270UM_2X9,80187,,TCB713,1,353
Feed One Die,Dialog Item,,2022-07-16 02:33:16.157,,L1 MT,,FAST_TIGER_LAKE_UP3_270UM_2X9,80187,,TCB713,1,157
Feed One Die,Dialog Item,,2022-07-16 02:35:15.243,,L1 MT,,FAST_TIGER_LAKE_UP3_270UM_2X9,80187,,TCB713,1,243
Feed One Die,Dialog Item,,2022-07-16 02:35:17.333,,L1 MT,,FAST_TIGER_LAKE_UP3_270UM_2X9,80187,,TCB713,1,333
Feed One Die,Dialog Item,,2022-07-16 03:47:22.040,,shujun,,FAST_TIGER_LAKE_UP3_270UM_2X9,80187,,TCB713,1,40
Feed One Die,Dialog Item,,2022-07-16 03:50:43.377,,shujun,,FAST_TIGER_LAKE_UP3_270UM_2X9,80592,,TCB713,1,377
Feed One Die,Dialog Item,,2022-07-16 03:55:02.440,,shujun,,FAST_TIGER_LAKE_UP3_270UM_2X9,80592,,TCB713,1,440
Feed One Die,Dialog Item,,2022-07-13 19:26:45.447,,L1 MT,,FAST_TIGER_LAKE_UP3_270UM_2X9,80187,,TCB713,1,447
Feed One Die,Dialog Item,,2022-07-18 08:32:47.587,,L1 MT,,FAST_TIGER_LAKE_UP3_270UM_2X9,80187,,TCB713,1,587
Feed One Die,Dialog Item,,2022-07-18 08:33:46.027,,L1 MT,,FAST_TIGER_LAKE_UP3_270UM_2X9,80187,,TCB713,1,27
Feed One Die,Dialog Item,,2022-07-14 02:45:34.530,,L1 MT,,FAST_TIGER_LAKE_UP3_270UM_2X9,80187,,TCB713,2,530
Feed One Die,Dialog Item,,2022-07-14 04:57:31.397,,L1 MT,,FAST_TIGER_LAKE_UP3_270UM_2X9,80187,,TCB713,3,397
Feed One Die,Dialog Item,,2022-07-14 10:30:15.370,,L1 MT,,FAST_TIGER_LAKE_UP3_270UM_2X9,80019,,TCB713,2,370
Feed One Die,Dialog Item,,2022-07-14 13:11:17.080,,L1 MT,,FAST_TIGER_LAKE_UP3_270UM_2X9,80187,,TCB713,2,80
Feed One Die,Dialog Item,,2022-07-14 16:45:22.260,,wangting,,FAST_TIGER_LAKE_UP3_270UM_2X9,80187,,TCB713,2,260
Feed One Die,Dialog Item,,2022-07-14 16:49:54.490,,wangting,,FAST_TIGER_LAKE_UP3_270UM_2X9,80187,,TCB713,2,490
Feed One Die,Dialog Item,,2022-07-16 04:00:14.727,,L1 MT,,FAST_TIGER_LAKE_UP3_270UM_2X9,80187,,TCB713,2,727
Feed One Die,Dialog Item,,2022-07-17 02:14:16.600,,L1 MT,,FAST_TIGER_LAKE_UP3_270UM_2X9,80187,,TCB713,2,600
Feed One Die,Dialog Item,,2022-07-18 13:20:29.020,,L1 MT,,FAST_TIGER_LAKE_UP3_270UM_2X9,80187,,TCB713,2,20
Feed One Die,Dialog Item,,2022-07-13 19:26:45.447,,L1 MT,,FAST_TIGER_LAKE_UP3_270UM_2X9,80187,,TCB713,1,447
Feed One Die,Dialog Item,,2022-07-22 18:31:39.503,,luobin,,FAST_TIGER_LAKE_UP3_270UM_2X9,80187,,TCB713,1,503
Feed One Die,Dialog Item,,2022-07-22 18:32:35.190,,luobin,,FAST_TIGER_LAKE_UP3_270UM_2X9,80187,,TCB713,1,190
Feed One Die,Dialog Item,,2022-07-22 18:35:54.160,,luobin,,FAST_TIGER_LAKE_UP3_270UM_2X9,80592,,TCB713,1,160
Feed One Die,Dialog Item,,2022-07-22 18:38:07.070,,luobin,,FAST_TIGER_LAKE_UP3_270UM_2X9,80592,,TCB713,1,70
Feed One Die,Dialog Item,,2022-07-19 13:22:19.167,,L1 MT,,FAST_TIGER_LAKE_UP3_270UM_2X9,80187,,TCB713,2,167
Feed One Die,Dialog Item,,2022-07-19 13:39:53.227,,L1 MT,,FAST_TIGER_LAKE_UP3_270UM_2X9,80187,,TCB713,2,227
Feed One Die,Dialog Item,,2022-07-14 09:54:10.810,,L1 MT,,FAST_TIGER_LAKE_UP3_270UM_2X9,80187,,TCB713,3,810
Feed One Die,Dialog Item,,2022-07-14 16:51:56.247,,L1 MT,,FAST_TIGER_LAKE_UP3_270UM_2X9,80187,,TCB713,3,247
Feed One Die,Dialog Item,,2022-07-14 17:18:38.813,,L1 MT,,FAST_TIGER_LAKE_UP3_270UM_2X9,80187,,TCB713,3,813
Feed One Die,Dialog Item,,2022-07-18 08:37:19.373,,L1 MT,,FAST_TIGER_LAKE_UP3_270UM_2X9,80187,,TCB713,3,373
Feed One Die,Dialog Item,,2022-07-18 08:37:32.917,,L1 MT,,FAST_TIGER_LAKE_UP3_270UM_2X9,80187,,TCB713,3,917
